host_category_raw,week,avg_heat,total_heat,topic_count,normalized_heat,mau_millions,dau_millions,heat_per_mau,heat_per_dau
历史,2025-06-09,1020856.0,3062568,3,0.0014911487603766203,588.0,261.0,5208.448979591837,11733.977011494253
家居,2025-06-09,721246.8,3606234,5,0.0017558569666789507,588.0,261.0,6133.051020408163,13816.988505747126
情感,2025-06-09,253855.65625,8123381,32,0.003955232833431613,588.0,261.0,13815.27380952381,31124.065134099616
搞笑,2025-06-09,239521.4107142857,13413199,56,0.0065308182745770615,588.0,261.0,22811.562925170067,51391.56704980843
教育,2025-06-09,754368.8,3771844,5,0.0018364916321642467,588.0,261.0,6414.700680272109,14451.50957854406
数码,2025-06-09,912029.6296296297,24624800,27,0.011989689696529904,588.0,261.0,41878.91156462585,94347.89272030651
旅游,2025-06-09,664226.6,6642266,10,0.0032340854838135095,588.0,261.0,11296.37074829932,25449.29501915709
时事,2025-06-09,731570.916,182892729,250,0.08904953820788539,588.0,261.0,311042.056122449,700738.4252873564
时尚,2025-06-09,391608.875,3132871,8,0.0015253789329967083,588.0,261.0,5328.011904761905,12003.337164750958
明星,2025-06-09,414516.6454293629,149640509,361,0.07285920165608616,588.0,261.0,254490.66156462586,573335.2835249042
明星-其他,2025-06-09,39377.0,39377,1,1.9172460737965712e-05,588.0,261.0,66.96768707482993,150.8697318007663
明星-内地,2025-06-09,334341.89130434784,46139181,138,0.022464932224506528,588.0,261.0,78467.99489795919,176778.4712643678
明星-日韩,2025-06-09,365821.0833333333,4389853,12,0.002137397066509409,588.0,261.0,7465.736394557823,16819.360153256705
明星-港台,2025-06-09,927222.5,1854445,2,0.0009029198251064536,588.0,261.0,3153.8180272108843,7105.153256704981
星座,2025-06-09,148710.5,297421,2,0.00014481277002175127,588.0,261.0,505.81802721088434,1139.544061302682
校园,2025-06-09,291783.0,583566,2,0.0002841353130764583,588.0,261.0,992.4591836734694,2235.885057471264
汽车,2025-06-09,686740.2307692308,8927623,13,0.004346814166921291,588.0,261.0,15183.03231292517,34205.45210727969
游戏,2025-06-09,217206.4347826087,29974488,138,0.014594425535734678,588.0,261.0,50977.02040816326,114844.7816091954
生活记录,2025-06-09,1281076.0,1281076,1,0.0006237493793927968,588.0,261.0,2178.700680272109,4908.3371647509575
电商,2025-06-09,2574117.2,12870586,5,0.006266622768611401,588.0,261.0,21888.751700680274,49312.59003831418
电影,2025-06-09,392341.9428571428,13731968,35,0.006686025277065332,588.0,261.0,23353.687074829933,52612.904214559385
电影-华语电影,2025-06-09,337331.46153846156,4385309,13,0.002135184616053729,588.0,261.0,7458.008503401361,16801.950191570882
电视剧,2025-06-09,259969.68,19497726,75,0.009493343480067381,588.0,261.0,33159.397959183676,74703.93103448275
电视剧-国产剧,2025-06-09,291644.9411764706,14873892,51,0.007242022256412177,588.0,261.0,25295.73469387755,56988.09195402299
社会,2025-06-09,457083.6087283672,607464116,1329,0.2957711840346662,588.0,261.0,1033102.2380952381,2327448.7203065134
科技,2025-06-09,411563.1666666667,4938758,12,0.0024046561152275205,588.0,261.0,8399.248299319728,18922.444444444445
科普,2025-06-09,270225.53571428574,7566315,28,0.0036840002353805785,588.0,261.0,12867.882653061224,28989.712643678162
综艺,2025-06-09,325974.5690607735,59001397,181,0.028727479682749524,588.0,261.0,100342.51190476191,226058.99233716476
综艺-内地综艺,2025-06-09,561391.9375,17964542,32,0.008746843999556494,588.0,261.0,30551.942176870747,68829.66283524904
美图,2025-06-09,525946.0,525946,1,0.00025608042855702857,588.0,261.0,894.4659863945578,2015.11877394636
美妆,2025-06-09,513802.0,1027604,2,0.0005003351536220768,588.0,261.0,1747.6258503401361,3937.1800766283527
美食,2025-06-09,858807.4444444445,7729267,9,0.003763340734204079,588.0,261.0,13145.011904761905,29614.049808429118
育儿,2025-06-09,860879.5,1721759,2,0.0008383156875267061,588.0,261.0,2928.16156462585,6596.777777777777
萌宠,2025-06-09,515466.0,1030932,2,0.0005019555398713073,588.0,261.0,1753.2857142857142,3949.9310344827586
读书,2025-06-09,388574.8,1942874,5,0.0009459754548039311,588.0,261.0,3304.207482993197,7443.961685823755
财经,2025-06-09,553689.7101449275,38204590,69,0.018601620280495657,588.0,261.0,64973.792517006805,146377.73946360152
音乐,2025-06-09,254662.74074074073,6875894,27,0.0033478377670572673,588.0,261.0,11693.697278911564,26344.421455938696
音乐-华语音乐,2025-06-09,539765.8571428572,3778361,7,0.0018396647262706877,588.0,261.0,6425.784013605442,14476.478927203065
音乐-日韩音乐,2025-06-09,293548.4,1467742,5,0.0007146361040318783,588.0,261.0,2496.1598639455783,5623.532567049809
互联网,2025-06-16,424903.1,12747093,30,0.007596716115015874,588.0,261.0,21678.729591836734,48839.4367816092
体育,2025-06-16,238576.06711409395,71095668,298,0.04236994323359988,588.0,261.0,120911.0,272397.1954022989
健康,2025-06-16,418278.0,418278,1,0.000249275597436734,588.0,261.0,711.3571428571429,1602.5977011494253
公益,2025-06-16,576384.4,2881922,5,0.0017175008685995136,588.0,261.0,4901.227891156463,11041.846743295018
其他,2025-06-16,317916.8588158751,488638212,1537,0.2912072407028758,588.0,261.0,831017.3673469388,1872177.0574712644
军事,2025-06-16,325984.6666666667,977954,3,0.0005828182873965252,588.0,261.0,1663.187074829932,3746.950191570881
