week_start,category,host_category_raw,is_official,weekly_total_minutes,topic_count,weekly_avg_minutes,time_share
2024-03-25,公益 (官媒),公益,1,59,4,14.75,0.00015348435500150883
2024-03-25,公益 (非官媒),公益,0,78,2,39.0,0.00020291152017148624
2024-03-25,其他 (官媒),其他,1,1644,8,205.5,0.004276750502075941
2024-03-25,其他 (非官媒),其他,0,2566,17,150.94117647058823,0.00667526872769274
2024-03-25,军事 (官媒),军事,1,833,5,166.6,0.0021669909782416415
2024-03-25,动漫 (非官媒),动漫,0,232,2,116.0,0.0006035317010228821
2024-03-25,动漫-动漫资讯 (非官媒),动漫-动漫资讯,0,94,1,94.0,0.0002445343961040988
2024-03-25,动漫-日本动漫 (非官媒),动漫-日本动漫,0,135,1,135.0,0.0003511930156814185
2024-03-25,情感 (官媒),情感,1,4582,30,152.73333333333332,0.011919751095201924
2024-03-25,情感 (非官媒),情感,0,5978,44,135.86363636363637,0.015551347020322369
2024-03-25,搞笑 (非官媒),搞笑,0,32832,245,134.0081632653061,0.08541014141372098
2024-03-25,教育 (官媒),教育,1,96,1,96.0,0.00024973725559567536
2024-03-25,教育 (非官媒),教育,0,328,2,164.0,0.0008532689566185576
2024-03-25,数码 (非官媒),数码,0,519,8,64.875,0.0013501420380641201
2024-03-25,旅游 (官媒),旅游,1,993,3,331.0,0.002583219737567767
2024-03-25,旅游 (非官媒),旅游,0,720,2,360.0,0.0018730294169675653
2024-03-25,时事 (官媒),时事,1,10016,72,139.11111111111111,0.026055920333815465
2024-03-25,时事 (非官媒),时事,0,2408,12,200.66666666666666,0.006264242827858191
2024-03-25,时尚 (非官媒),时尚,0,339,7,48.42857142857143,0.0008818846838222286
2024-03-25,明星 (官媒),明星,1,387,1,387.0,0.0010067533116200663
2024-03-25,明星 (非官媒),明星,0,50666,330,153.53333333333333,0.13180403950010927
2024-03-25,明星-其他 (非官媒),明星-其他,0,761,5,152.2,0.001979688036544885
2024-03-25,明星-内地 (官媒),明星-内地,1,1401,8,175.125,0.0036446030738493877
2024-03-25,明星-内地 (非官媒),明星-内地,0,14370,95,151.26315789473685,0.03738254544697766
2024-03-25,明星-日韩 (非官媒),明星-日韩,0,4178,21,198.95238095238096,0.010868773477903456
2024-03-25,明星-港台 (非官媒),明星-港台,0,515,1,515.0,0.001339736319080967
2024-03-25,星座 (非官媒),星座,0,2581,12,215.08333333333334,0.006714290173879564
2024-03-25,校园 (非官媒),校园,0,1985,12,165.41666666666666,0.005163838045389746
2024-03-25,汽车 (官媒),汽车,1,104,1,104.0,0.0002705486935619817
2024-03-25,汽车 (非官媒),汽车,0,3460,23,150.43478260869566,0.009000946920427466
2024-03-25,游戏 (非官媒),游戏,0,8968,160,56.05,0.023329621960229342
2024-03-25,生活记录 (非官媒),生活记录,0,16,1,16.0,4.1622875932612564e-05
2024-03-25,电影 (官媒),电影,1,360,3,120.0,0.0009365147084837827
2024-03-25,电影 (非官媒),电影,0,1408,11,128.0,0.0036628130820699056
2024-03-25,电影-华语电影 (非官媒),电影-华语电影,0,244,3,81.33333333333333,0.0006347488579723416
2024-03-25,电影-美国电影 (非官媒),电影-美国电影,0,553,4,138.25,0.0014385906494209218
