week_start,category,weekly_total_minutes,topic_count,weekly_avg_minutes,time_share
2024-08-12,电影-日本电影,24,1,24.0,6.198106994821997e-05
2024-08-12,电影-美国电影,595,3,198.33333333333334,0.0015366140257996204
2024-08-12,电视剧,3560,45,79.11111111111111,0.009193858708985965
2024-08-12,电视剧-国产剧,7710,64,120.46875,0.01991141872086567
2024-08-12,直播,4,1,4.0,1.033017832470333e-05
2024-08-12,社会,160378,986,162.6551724137931,0.4141833348398177
2024-08-12,科技,1124,8,140.5,0.002902780109241636
2024-08-12,科普,2925,20,146.25,0.00755394289993931
2024-08-12,综艺,14622,96,152.3125,0.037761966865953026
2024-08-12,综艺-内地综艺,3069,35,87.68571428571428,0.00792582931962863
2024-08-12,美妆,7,1,7.0,1.807781206823083e-05
2024-08-12,萌宠,359,3,119.66666666666667,0.0009271335046421239
2024-08-12,读书,195,5,39.0,0.0005035961933292873
2024-08-12,财经,16007,90,177.85555555555555,0.041338791110881554
2024-08-12,财经-产业公司,227,1,227.0,0.000586237619926914
2024-08-12,财经-其他,36,1,36.0,9.297160492232998e-05
2024-08-12,音乐,3896,35,111.31428571428572,0.010061593688261044
2024-08-12,音乐-华语音乐,555,12,46.25,0.0014333122425525871
2024-08-12,音乐-日韩音乐,704,6,117.33333333333333,0.0018181113851477861
2024-08-19,互联网,2782,19,146.42105263157896,0.007461445621563632
2024-08-19,体育,32572,223,146.0627802690583,0.08735952796030576
2024-08-19,其他,3176,29,109.51724137931035,0.008518170846184793
2024-08-19,军事,180,5,36.0,0.0004827678691162666
2024-08-19,动漫,460,9,51.111111111111114,0.0012337401099637925
2024-08-19,动漫-日本动漫,483,3,161.0,0.001295427115461982
2024-08-19,情感,5797,50,115.94,0.015547807429261097
2024-08-19,搞笑,18710,101,185.24752475247524,0.0501810379509186
2024-08-19,教育,1789,17,105.23529411764706,0.004798176210272227
2024-08-19,数码,569,7,81.28571428571429,0.001526082875150865
2024-08-19,旅游,276,5,55.2,0.0007402440659782754
2024-08-19,时事,25694,178,144.34831460674158,0.06891243127262975
2024-08-19,时尚,494,5,98.8,0.0013249295963524207
2024-08-19,明星,29440,237,124.21940928270043,0.07895936703768272
2024-08-19,明星-其他,488,4,122.0,0.001308837334048545
2024-08-19,明星-内地,19768,140,141.2,0.05301864020383532
2024-08-19,明星-日韩,411,3,137.0,0.0011023199678154754
2024-08-19,明星-港台,1734,5,346.8,0.004650663805820035
2024-08-19,星座,1352,10,135.2,0.0036261231058066245
2024-08-19,校园,208,2,104.0,0.0005578650932010192
2024-08-19,汽车,1225,15,81.66666666666667,0.0032855035537079254
2024-08-19,游戏,13863,148,93.66891891891892,0.037181172053104464
2024-08-19,电商,182,1,182.0,0.00048813195655089176
2024-08-19,电影,1727,31,55.70967741935484,0.0046318894997988466
2024-08-19,电影-华语电影,1104,12,92.0,0.0029609762639131016
2024-08-19,电视剧,6671,63,105.88888888888889,0.017891913638192303
2024-08-19,电视剧-国产剧,5802,60,96.7,0.01556121764784766
2024-08-19,电视剧-韩剧,237,1,237.0,0.0006356443610030844
2024-08-19,社会,157724,1077,146.44753946146704,0.4230226632694113
2024-08-19,科技,1338,10,133.8,0.0035885744937642484
2024-08-19,科普,2413,17,141.94117647058823,0.006471771489875285
2024-08-19,综艺,10214,89,114.76404494382022,0.027394394528630815
2024-08-19,综艺-内地综艺,6983,50,139.66,0.01872871127799383
2024-08-19,美食,506,7,72.28571428571429,0.0013571141209601715
2024-08-19,职场,73,2,36.5,0.00019578919136381922
2024-08-19,萌宠,243,4,60.75,0.00065173662330696
2024-08-19,财经,9212,77,119.63636363636364,0.0247069867238836
2024-08-19,财经-产业公司,554,2,277.0,0.001485852219391176
2024-08-19,财经-其他,471,2,235.5,0.001263242590854231
2024-08-19,运动健身,62,1,62.0,0.00016628671047338073
2024-08-19,音乐,3860,49,78.77551020408163,0.010352688748826605
2024-08-19,音乐-其他,22,1,22.0,5.9004961780877026e-05
